customer_key,customer_id,customer_name,customer_segment,industry,city,state,country,location_key
1,CUST-00001,Customer 00001,Mid-Market,Education,Chandigarh,Punjab,India,2
2,CUST-00002,Customer 00002,SMB,Telecommunications,Bengaluru,Karnataka,India,6
3,CUST-00003,Customer 00003,Consumer,Technology,Ahmedabad,Gujarat,India,3
4,CUST-00004,Customer 00004,SMB,Education,Kolkata,West Bengal,India,9
5,CUST-00005,Customer 00005,SMB,Technology,Chennai,Tamil Nadu,India,7
6,CUST-00006,Customer 00006,Consumer,Healthcare,Chennai,Tamil Nadu,India,7
7,CUST-00007,Customer 00007,Consumer,Retail,Bhubaneswar,Odisha,India,10
8,CUST-00008,Customer 00008,Mid-Market,Manufacturing,Chennai,Tamil Nadu,India,7
9,CUST-00009,Customer 00009,Enterprise,Manufacturing,Chandigarh,Punjab,India,2
10,CUST-00010,Customer 00010,SMB,Education,Indore,Madhya Pradesh,India,11
11,CUST-00011,Customer 00011,Mid-Market,Education,Chandigarh,Punjab,India,2
12,CUST-00012,Customer 00012,Consumer,Telecommunications,Delhi,Delhi,India,1
13,CUST-00013,Customer 00013,Mid-Market,Education,Kolkata,West Bengal,India,9
14,CUST-00014,Customer 00014,Enterprise,Manufacturing,Jaipur,Rajasthan,India,5
15,CUST-00015,Customer 00015,SMB,Financial Services,Chennai,Tamil Nadu,India,7
16,CUST-00016,Customer 00016,Consumer,Education,Bhopal,Madhya Pradesh,India,12
17,CUST-00017,Customer 00017,Mid-Market,Healthcare,Jaipur,Rajasthan,India,5
18,CUST-00018,Customer 00018,Mid-Market,Manufacturing,Delhi,Delhi,India,1
19,CUST-00019,Customer 00019,SMB,Technology,Bengaluru,Karnataka,India,6
20,CUST-00020,Customer 00020,SMB,Financial Services,Mumbai,Maharashtra,India,4
21,CUST-00021,Customer 00021,Consumer,Manufacturing,Bhopal,Madhya Pradesh,India,12
22,CUST-00022,Customer 00022,Mid-Market,Retail,Hyderabad,Telangana,India,8
23,CUST-00023,Customer 00023,Consumer,Education,Bhubaneswar,Odisha,India,10
24,CUST-00024,Customer 00024,Mid-Market,Healthcare,Indore,Madhya Pradesh,India,11
25,CUST-00025,Customer 00025,Enterprise,Retail,Ahmedabad,Gujarat,India,3
26,CUST-00026,Customer 00026,Enterprise,Financial Services,Bhubaneswar,Odisha,India,10
27,CUST-00027,Customer 00027,SMB,Education,Bhubaneswar,Odisha,India,10
28,CUST-00028,Customer 00028,SMB,Retail,Bengaluru,Karnataka,India,6
29,CUST-00029,Customer 00029,SMB,Manufacturing,Chennai,Tamil Nadu,India,7
30,CUST-00030,Customer 00030,Enterprise,Technology,Delhi,Delhi,India,1
31,CUST-00031,Customer 00031,SMB,Retail,Bengaluru,Karnataka,India,6
32,CUST-00032,Customer 00032,SMB,Manufacturing,Indore,Madhya Pradesh,India,11
33,CUST-00033,Customer 00033,SMB,Retail,Chennai,Tamil Nadu,India,7
34,CUST-00034,Customer 00034,Mid-Market,Manufacturing,Chandigarh,Punjab,India,2
35,CUST-00035,Customer 00035,Mid-Market,Technology,Hyderabad,Telangana,India,8
36,CUST-00036,Customer 00036,Mid-Market,Financial Services,Bhopal,Madhya Pradesh,India,12
37,CUST-00037,Customer 00037,Mid-Market,Education,Bhopal,Madhya Pradesh,India,12
38,CUST-00038,Customer 00038,Mid-Market,Technology,Bhubaneswar,Odisha,India,10
39,CUST-00039,Customer 00039,SMB,Healthcare,Bhopal,Madhya Pradesh,India,12
40,CUST-00040,Customer 00040,SMB,Manufacturing,Chandigarh,Punjab,India,2
41,CUST-00041,Customer 00041,Mid-Market,Retail,Bhopal,Madhya Pradesh,India,12
42,CUST-00042,Customer 00042,Mid-Market,Education,Bengaluru,Karnataka,India,6
43,CUST-00043,Customer 00043,Enterprise,Technology,Jaipur,Rajasthan,India,5
44,CUST-00044,Customer 00044,SMB,Education,Bhubaneswar,Odisha,India,10
45,CUST-00045,Customer 00045,SMB,Financial Services,Kolkata,West Bengal,India,9
46,CUST-00046,Customer 00046,SMB,Financial Services,Bhopal,Madhya Pradesh,India,12
