order_key,date_key,customer_key,employee_key,location_key,order_status,order_amount,item_count,shipping_amount
1,20250331,52,83,1,Completed,1630.88,1,351.59
2,20241004,162,29,9,Completed,1745.07,2,64.2
3,20240721,716,81,10,Cancelled,3255.69,1,71.97
4,20241111,579,87,4,Cancelled,1095.78,2,38.57
5,20240815,979,50,2,Completed,648.68,5,84.77
6,20250818,895,54,7,Pending,2122.18,1,124.01
7,20241027,162,51,11,Pending,5684.29,4,286.85
8,20240822,736,5,1,Pending,265.17,4,329.91
9,20250126,91,55,11,Pending,2941.61,4,374.19
10,20250708,97,68,8,Completed,1682.14,1,388.09
11,20240719,794,57,12,Completed,1067.09,1,95.97
12,20251117,401,50,4,Completed,975.49,1,37.22
13,20241204,998,51,8,Pending,3368.99,5,204.43
14,20250428,6,54,6,Completed,2818.35,1,474.48
15,20251130,503,93,8,Pending,713.6,4,247.97
16,20241111,308,42,3,Completed,2087.45,2,399.21
17,20240526,986,23,6,Completed,4904.2,5,447.56
18,20250630,670,7,12,Completed,2858.16,3,274.07
19,20240105,772,88,11,Completed,430.82,3,107.3
20,20241130,291,19,3,Completed,2742.98,3,378.53
21,20251217,895,42,1,Completed,603.08,5,297.01
22,20241029,841,76,6,Pending,1947.82,4,482.81
23,20250515,785,18,3,Completed,899.52,5,298.53
24,20250118,478,24,4,Completed,2257.46,3,456.15
25,20240605,922,64,3,Pending,957.4,5,221.72
26,20240820,670,63,7,Cancelled,708.32,1,494.74
27,20250117,66,25,2,Pending,2104.7,4,214.26
28,20240317,884,55,11,Completed,1794.19,4,110.44
29,20241030,21,71,1,Pending,3156.73,1,259.31
30,20241030,683,23,2,Completed,1070.4,1,8.26
31,20250902,250,45,7,Completed,487.28,5,365.74
32,20240331,898,29,2,Completed,2809.71,1,362.15
33,20250908,730,95,7,Completed,5205.75,3,432.61
34,20241027,809,39,1,Pending,1030.45,4,360.12
35,20250421,700,86,11,Completed,2413.69,5,18.01
36,20250211,568,89,8,Cancelled,1274.91,2,444.36
37,20240807,864,17,4,Completed,7677.39,4,266.96
