return_key,date_key,sales_key,order_key,customer_key,product_key,location_key,return_quantity,return_amount,return_reason
1,20241027,14,7,162,135,11,4,22077.62,Incorrect Product
2,20241027,16,7,162,195,11,5,41701.22,Incorrect Product
3,20240822,19,8,736,152,1,3,16055.48,Incorrect Product
4,20250708,25,10,97,142,8,5,21069.02,Duplicate Order
5,20241204,28,13,998,169,8,3,13655.83,Quality Issue
6,20240526,44,17,986,6,6,1,3243.59,Customer Changed Mind
7,20240820,76,26,670,93,7,1,645.91,Duplicate Order
8,20250902,90,31,250,13,7,2,16243.29,Duplicate Order
9,20251111,114,38,298,139,8,3,16482.86,Customer Changed Mind
10,20241130,136,44,54,168,2,1,2564.88,Incorrect Product
11,20240115,141,46,942,136,11,1,1669.34,Quality Issue
12,20251105,153,49,860,30,8,7,74816.81,Incorrect Product
13,20240327,159,50,739,106,8,6,23344.6,Customer Changed Mind
14,20240829,178,57,230,161,12,1,6148.78,Incorrect Product
15,20240428,192,62,275,87,8,1,3546.22,Damaged
16,20240309,199,64,276,91,7,6,8943.84,Damaged
17,20250205,205,66,899,55,2,1,954.57,Duplicate Order
18,20241226,234,75,349,110,6,1,133.21,Customer Changed Mind
19,20251218,259,84,256,32,3,2,7499.7,Duplicate Order
20,20251218,261,84,256,173,3,1,5416.44,Incorrect Product
21,20250220,263,85,40,83,2,5,7620.6,Incorrect Product
22,20250215,306,99,992,154,2,3,5001.6,Damaged
23,20240331,311,101,592,88,2,1,3365.34,Customer Changed Mind
24,20240806,338,113,569,170,9,1,777.19,Customer Changed Mind
25,20241014,354,119,329,19,9,1,4850.84,Quality Issue
26,20250112,375,125,67,14,5,2,5470.16,Damaged
27,20251003,407,137,167,49,9,2,8254.0,Damaged
28,20250209,421,143,452,90,12,1,1427.57,Duplicate Order
29,20240106,426,144,201,85,9,4,1825.96,Customer Changed Mind
30,20250307,457,152,394,35,9,4,5382.94,Incorrect Product
31,20240705,458,153,98,79,3,4,21701.98,Customer Changed Mind
32,20240823,523,174,350,146,8,3,12599.09,Quality Issue
33,20240627,542,178,954,116,4,2,11050.21,Quality Issue
34,20240627,545,178,954,29,4,3,6273.62,Damaged
35,20251222,555,182,313,155,12,1,4157.02,Duplicate Order
36,20240503,573,188,267,132,1,1,7561.85,Incorrect Product
37,20250430,575,189,412,74,2,2,9902.97,Quality Issue
38,20240401,586,193,462,41,2,4,12614.44,Damaged
39,20240825,588,194,517,96,11,3,12435.22,Duplicate Order
40,20250419,603,199,373,33,6,1,3066.47,Duplicate Order
