sales_key,date_key,customer_key,product_key,employee_key,location_key,order_key,quantity,unit_price,gross_amount,discount_amount,net_amount,cost_amount,profit_amount,currency
1,20250331,52,184,83,1,1,4,5364.51,21458.05,5299.58,16158.48,11582.4,4576.08,INR
2,20241004,162,11,29,9,2,2,7760.44,15520.88,2058.39,13462.49,9429.8,4032.69,INR
3,20241004,162,5,29,9,2,4,5152.71,20610.82,5139.28,15471.54,10533.16,4938.38,INR
4,20240721,716,183,81,10,3,2,5718.18,11436.35,830.4,10605.95,8247.06,2358.89,INR
5,20241111,579,187,87,4,4,1,10806.98,10806.98,1498.88,9308.1,4078.88,5229.22,INR
6,20241111,579,102,87,4,4,6,8190.95,49145.7,5656.53,43489.17,23927.1,19562.07,INR
7,20240815,979,191,50,2,5,1,5239.21,5239.21,915.56,4323.65,4481.06,-157.41,INR
8,20240815,979,20,50,2,5,4,2103.06,8412.24,47.74,8364.5,5324.96,3039.54,INR
9,20240815,979,189,50,2,5,7,2831.28,19818.95,811.32,19007.63,8173.13,10834.5,INR
10,20240815,979,117,50,2,5,3,2731.22,8193.67,1521.34,6672.33,4566.57,2105.76,INR
11,20240815,979,173,50,2,5,6,4102.61,24615.69,5249.15,19366.54,22677.78,-3311.24,INR
12,20250818,895,71,54,7,6,5,2400.51,12002.54,1717.7,10284.84,6731.95,3552.89,INR
13,20241027,162,173,51,11,7,7,4994.97,34964.8,6425.57,28539.23,26457.41,2081.82,INR
14,20241027,162,135,51,11,7,4,6048.89,24195.56,2117.95,22077.62,9035.76,13041.86,INR
15,20241027,162,55,51,11,7,6,1442.58,8655.46,272.21,8383.25,3721.02,4662.23,INR
16,20241027,162,195,51,11,7,7,8557.71,59903.95,1522.23,58381.71,28090.02,30291.69,INR
17,20240822,736,162,5,1,8,5,2645.93,13229.66,1552.99,11676.67,10052.6,1624.07,INR
18,20240822,736,178,5,1,8,5,7649.56,38247.81,2809.34,35438.47,24000.0,11438.47,INR
19,20240822,736,152,5,1,8,5,5528.16,27640.82,881.69,26759.13,15598.65,11160.48,INR
20,20240822,736,103,5,1,8,5,6086.33,30431.67,3015.07,27416.6,24730.05,2686.55,INR
21,20250126,91,184,55,11,9,6,5231.76,31390.54,2024.9,29365.64,17373.6,11992.04,INR
22,20250126,91,12,55,11,9,1,2798.08,2798.08,285.46,2512.62,1459.8,1052.82,INR
23,20250126,91,156,55,11,9,7,4204.34,29430.38,6035.87,23394.52,18629.45,4765.07,INR
24,20250126,91,75,55,11,9,6,6913.83,41482.99,8956.16,32526.83,21040.08,11486.75,INR
25,20250708,97,142,68,8,10,5,5379.21,26896.07,5827.05,21069.02,13173.0,7896.02,INR
26,20240719,794,66,57,12,11,2,5111.9,10223.79,2100.51,8123.28,6571.94,1551.34,INR
27,20251117,401,16,50,4,12,1,3389.32,3389.32,812.36,2576.96,1653.31,923.65,INR
28,20241204,998,169,51,8,13,3,5368.05,16104.15,2448.32,13655.83,6125.22,7530.61,INR
29,20241204,998,147,51,8,13,1,889.31,889.31,211.55,677.76,641.27,36.49,INR
30,20241204,998,16,51,8,13,7,3095.11,21665.75,4021.88,17643.87,11573.17,6070.7,INR
31,20241204,998,153,51,8,13,3,337.22,1011.65,211.32,800.33,394.77,405.56,INR
32,20241204,998,48,51,8,13,4,7839.5,31357.99,40.93,31317.07,17896.12,13420.95,INR
33,20250428,6,135,54,6,14,7,5340.02,37380.15,5251.1,32129.05,15812.58,16316.47,INR
34,20251130,503,152,93,8,15,3,7270.44,21811.33,1368.3,20443.03,9359.19,11083.84,INR
35,20251130,503,28,93,8,15,6,433.61,2601.66,403.39,2198.27,1457.7,740.57,INR
36,20251130,503,199,93,8,15,3,6063.02,18189.06,2472.02,15717.04,13141.53,2575.51,INR
37,20251130,503,119,93,8,15,1,3190.55,3190.55,28.57,3161.97,2461.22,700.75,INR
38,20241111,308,24,42,3,16,2,5391.83,10783.67,1777.96,9005.7,6832.34,2173.36,INR
39,20241111,308,52,42,3,16,4,9119.53,36478.12,6321.24,30156.89,15737.48,14419.41,INR
40,20240526,986,91,23,6,17,1,1826.32,1826.32,3.18,1823.14,913.96,909.18,INR
41,20240526,986,122,23,6,17,1,4676.97,4676.97,359.35,4317.62,3642.22,675.4,INR
42,20240526,986,1,23,6,17,5,5146.18,25730.92,1332.2,24398.72,11298.15,13100.57,INR
43,20240526,986,180,23,6,17,2,2499.55,4999.09,854.91,4144.19,2956.68,1187.51,INR
44,20240526,986,6,23,6,17,3,3653.89,10961.67,1230.91,9730.77,5699.7,4031.07,INR
45,20250630,670,8,7,12,18,5,6114.09,30570.44,3422.64,27147.8,20305.0,6842.8,INR
46,20250630,670,57,7,12,18,5,3597.54,17987.71,1037.3,16950.41,12928.0,4022.41,INR
47,20250630,670,125,7,12,18,6,9354.77,56128.62,12880.72,43247.9,28722.06,14525.84,INR
48,20240105,772,51,88,11,19,4,4720.09,18880.35,1259.53,17620.82,8385.48,9235.34,INR
49,20240105,772,48,88,11,19,7,8212.13,57484.94,2130.09,55354.85,31318.21,24036.64,INR
50,20240105,772,3,88,11,19,6,1725.7,10354.19,596.71,9757.48,4834.92,4922.56,INR
51,20241130,291,27,19,3,20,2,5001.6,10003.2,2407.44,7595.76,5762.32,1833.44,INR
52,20241130,291,8,19,3,20,2,8315.71,16631.43,3395.55,13235.88,8122.0,5113.88,INR
53,20241130,291,45,19,3,20,2,5818.27,11636.53,1636.82,9999.71,8582.92,1416.79,INR
54,20251217,895,133,42,1,21,5,5392.88,26964.42,248.89,26715.52,14908.8,11806.72,INR
55,20251217,895,113,42,1,21,5,253.96,1269.79,70.52,1199.27,520.65,678.62,INR
56,20251217,895,25,42,1,21,4,2695.87,10783.47,1142.46,9641.01,5416.8,4224.21,INR
57,20251217,895,39,42,1,21,2,5526.59,11053.17,1843.67,9209.5,5091.78,4117.72,INR
58,20251217,895,86,42,1,21,2,9623.04,19246.09,11.69,19234.4,7322.0,11912.4,INR
59,20241029,841,193,76,6,22,2,4378.08,8756.16,1045.31,7710.85,4771.62,2939.23,INR
60,20241029,841,70,76,6,22,5,2038.16,10190.81,215.6,9975.21,6550.1,3425.11,INR
61,20241029,841,99,76,6,22,4,6096.75,24387.0,4839.54,19547.46,14530.16,5017.3,INR
62,20241029,841,119,76,6,22,3,3316.16,9948.49,1924.93,8023.57,7383.66,639.91,INR
63,20250515,785,71,18,3,23,3,2268.35,6805.05,273.57,6531.48,4039.17,2492.31,INR
64,20250515,785,1,18,3,23,6,4579.35,27476.1,6738.19,20737.91,13557.78,7180.13,INR
65,20250515,785,169,18,3,23,2,4153.33,8306.66,786.79,7519.87,4083.48,3436.39,INR
