target_key,date_key,location_key,department_key,target_type,target_amount
1,20240101,1,1,Revenue,1333315.34
2,20240101,1,2,Revenue,928093.16
3,20240101,1,3,Revenue,1913771.84
4,20240101,1,4,Revenue,1261351.77
5,20240101,1,5,Revenue,949892.14
6,20240101,1,6,Revenue,656262.77
7,20240101,2,1,Revenue,1480727.43
8,20240101,2,2,Revenue,802218.25
9,20240101,2,3,Revenue,1336458.78
10,20240101,2,4,Revenue,1574708.02
11,20240101,2,5,Revenue,1612958.04
12,20240101,2,6,Revenue,590939.48
13,20240101,3,1,Revenue,2427017.0
14,20240101,3,2,Revenue,540025.71
15,20240101,3,3,Revenue,2003848.57
16,20240101,3,4,Revenue,856023.0
17,20240101,3,5,Revenue,1923209.24
18,20240101,3,6,Revenue,647057.9
19,20240101,4,1,Revenue,2070946.68
20,20240101,4,2,Revenue,703806.4
21,20240101,4,3,Revenue,2248684.41
22,20240101,4,4,Revenue,2145222.51
23,20240101,4,5,Revenue,1688552.24
24,20240101,4,6,Revenue,1946173.71
25,20240101,5,1,Revenue,2202962.92
26,20240101,5,2,Revenue,1376848.82
27,20240101,5,3,Revenue,1198768.17
28,20240101,5,4,Revenue,1660680.37
29,20240101,5,5,Revenue,1489934.66
30,20240101,5,6,Revenue,941293.37
31,20240101,6,1,Revenue,1736520.4
32,20240101,6,2,Revenue,998135.89
33,20240101,6,3,Revenue,1675572.46
34,20240101,6,4,Revenue,829929.09
35,20240101,6,5,Revenue,2057635.19
36,20240101,6,6,Revenue,1516800.74
37,20240101,7,1,Revenue,1978968.09
38,20240101,7,2,Revenue,2066762.46
39,20240101,7,3,Revenue,1005583.73
40,20240101,7,4,Revenue,2388316.08
41,20240101,7,5,Revenue,2179484.69
42,20240101,7,6,Revenue,544151.09
43,20240101,8,1,Revenue,1167249.68
44,20240101,8,2,Revenue,1379704.46
45,20240101,8,3,Revenue,789323.06
46,20240101,8,4,Revenue,1681532.72
47,20240101,8,5,Revenue,1744881.82
48,20240101,8,6,Revenue,1623345.48
